name,address,phone,hours
THE SALVATION ARMY OLEAN CORPS FOOD PANTRY,"328 W. DELAWARE AVE, OLEAN, NY 14760",(716) 372-6740,"Tuesday 10:00 AM - 12:00 PM;
Wednesday and Thursday 10:00 AM - 2:00 PM;"
THE SALVATION ARMY - JAMESTOWN,"83 S. MAIN STREET, JAMESTOWN, NY 14701",(716) 664-4108,"Monday thru Friday, 9:30 - 11:30 AM and 1 - 3:30 PM"
BREAD OF LIFE FOOD PANTRY HEALING WORD MINISTRIES,"1006 WEST THIRD STREET, JAMESTOWN, NY 14701",(716) 483-3687,"Tuesday 2:30 PM - 5:30 PM
Friday 11:00 AM - 2:00 PM"
TREE OF LIFE FOOD CUPBOARD,"825 FOREST AVENUE, JAMESTOWN, NY 14701",(716) 488-4235,Wednesday and Friday 10:00 AM - 2:00 PM
FREWSBURG FOOD CUPBOARD,"125 W. MAIN ST., FREWSBURG, NY 14738",(716) 569-6153,Tuesday 2:00 PM - 6:00 PM
ASHVILLE FOOD PANTRY,"2180 NORTH MAPLE STREET, ASHVILLE, NY 14710",(716)763-9747,THU 3:30 PM - 5:30 PM; SAT 9:30 AM - 11:30 AM
RIPLEY COMMUNITY COUNCIL FOOD PANTRY,"12 NORTH STATE STREET, RIPLEY, NY 14775",(716) 969-8344,Tuesday 2:00 PM - 4:00 PM; Saturday 10:00 AM - 12:00 PM
AREA CHRISTIAN ACTION - SHERMAN,"123 WEST MAIN STREET, SHERMAN, NY 14781",(716) 761-6978,"Tuesday 8:00 AM - 12:00 PM 
3rd Saturday 8:30 AM - 12:30 PM"
PANAMA UNITED METHODIST CHURCH,"22 EAST MAIN ST., PANAMA, NY 14767",(716) 782-3282,"Monday 9:00 AM – 10:00 AM and 6:00 PM – 7:00 PM; 
Thursday 5:00 PM – 7:00 PM"
AREA CHRISTIAN ACTION - FINDLEY,"2862 NORTH ROAD, FINDLEY LAKE, NY 14736",(716) 769-7532,"Thursday 9:00 AM - 1:00 PM
3rd Saturday 8:00 AM - 12:00 PM"
AREA CHRISTIAN ACTION - CLYMER,"565 CLYMER SHERMAN ROAD, CLYMER, NY 14724",(716) 355-6336,"Monday 10:00 AM - 2:00 PM
3rd Saturday 7:30 AM - 9:30 AM"
