name,address,phone,hours,latitude,longitude
Little Valley Food Pantry,"207 Rock City Street, Little Valley, New York",(623) 377-0159,Friday 9:00 AM - 1:00 PM,42.2478415,-78.797137
CASSADAGA FOOD PANTRY,"25 MAPLE AVENUE, CASSADAGA, NY 14718",(716) 595-8718,Thursday 8:00 AM - 12:00 PM,42.343678,-79.3103193
GREAT VALLEY FOOD PANTRY,"4808 ROUTE 219, GREAT VALLEY, NY 14741",(716) 353-2244,"1st and 4th Thursday 4:00 - 6:00 PM
1st and 4th Sunday 8:00 - 10:00 AM
2nd and 3rd Thursday 2:00 - 6:00 PM",,
SINCLAIRVILLE FOOD PANTRY,"49 SINCLAIR DRIVE, SINCLAIRVILLE, NY 14782",(716) 962-2265,Tuesday 8:00 a.m. - 12:00 p.m.,42.255876,-79.2691582
SENECA NATION FOOD PANTRY,"983 RC HOAG DRIVE, SALAMANCA, NY 14779",(716) 945-2655,"Monday thru Friday, 8:00 AM – 4:00 PM",,
RANDOLPH COMMUNITY CUPBOARD,"28 JAMESTOWN STREET, RANDOLPH, NY 14772",(716)358-4848,"Tuesday and Thursday 1:00 PM - 3:00 PM
2nd Saturday 11:00 AM to 1:00 PM",42.1627664,-78.9772425
CONNECTING COMMUNITIES IN ACTION (CCA) FOOD PANTRY,"25 JEFFERSON STREET, SALAMANCA, NY 14779",(716) 945-1041,"Monday-Friday, 9:00 a.m. to noon, 1:00 p.m. to 3:00 p.m.",42.1535745,-78.717275
BROCTON-PORTLAND FOOD PANTRY,"7081 EAST RTE 20, PORTLAND, NY 14769",(716) 326-2492,Tuesday and Thursday 1:00 PM - 4:00 PM,,
HINSDALE / ISCHUA FOOD PANTRY,"3826 MAIN ST, HINSDALE, NY 14743",(716) 378-5098,"Monday 9:00 AM - 11:00 AM
Wednesday 1:00 PM - 3:00 PM",42.16665,-78.3899024
WESTFIELD FOOD PANTRY,"101 EAST MAIN STREET, WESTFIELD, NY 14787",(716) 326-3243,Tuesday 1:00 PM - 2:30 PM,42.3241441,-79.575436
CREEKSIDE CHAPEL FOOD PANTRY,"2523 FIVE MILE ROAD, ALLEGANY, NY 14706",(716) 372-0388,Thursday 10:00 AM - 2:00 PM,42.1088645,-78.5008536
ST. PAUL'S EPISCOPAL FOOD PANTRY,"99 S. ERIE STREET, MAYVILLE, NY 14757",(716) 753-2243,"Monday, Wednesday, Friday 10:30 AM - 12:30 PM",42.2510425,-79.50132
BETHLEHEM LUTHERAN CHURCH FOOD PANTRY,"20 N PHETTEPLACE STREET, FALCONER, NY 14733",(716) 665-2102,Tuesday & Thursday 9:00 AM - 11:00 AM,42.116977,-79.2013198
OLEAN FOOD PANTRY,"8 LEO MOSS DRIVE, OLEAN, NY 14760",(716) 372-4989,Monday 12:30 PM - 4:30 PM; Friday 10:00 AM - 2:00 PM,,
ST. VINCENT DEPAUL - OLEAN PANTRY,"441 N. UNION STREET, OLEAN, NY 14760",(716) 373-0815,"Monday, Wednesday, Friday: 10:00 AM - 2:45 PM",42.0837855,-78.4303146
THE SALVATION ARMY OLEAN CORPS FOOD PANTRY,"328 W. DELAWARE AVE, OLEAN, NY 14760",(716) 372-6740,"Tuesday 10:00 AM - 12:00 PM;
Wednesday and Thursday 10:00 AM - 2:00 PM;",42.0842251,-78.4154733
THE SALVATION ARMY - JAMESTOWN,"83 S. MAIN STREET, JAMESTOWN, NY 14701",(716) 664-4108,"Monday thru Friday, 9:30 - 11:30 AM and 1 - 3:30 PM",42.092259,-79.2370725
BREAD OF LIFE FOOD PANTRY HEALING WORD MINISTRIES,"1006 WEST THIRD STREET, JAMESTOWN, NY 14701",(716) 483-3687,"Tuesday 2:30 PM - 5:30 PM
Friday 11:00 AM - 2:00 PM",,
TREE OF LIFE FOOD CUPBOARD,"825 FOREST AVENUE, JAMESTOWN, NY 14701",(716) 488-4235,Wednesday and Friday 10:00 AM - 2:00 PM,42.079432,-79.243831
FREWSBURG FOOD CUPBOARD,"125 W. MAIN ST., FREWSBURG, NY 14738",(716) 569-6153,Tuesday 2:00 PM - 6:00 PM,42.052298,-79.1669219
ASHVILLE FOOD PANTRY,"2180 NORTH MAPLE STREET, ASHVILLE, NY 14710",(716)763-9747,THU 3:30 PM - 5:30 PM; SAT 9:30 AM - 11:30 AM,,
RIPLEY COMMUNITY COUNCIL FOOD PANTRY,"12 NORTH STATE STREET, RIPLEY, NY 14775",(716) 969-8344,Tuesday 2:00 PM - 4:00 PM; Saturday 10:00 AM - 12:00 PM,42.268102,-79.7097572
AREA CHRISTIAN ACTION - SHERMAN,"123 WEST MAIN STREET, SHERMAN, NY 14781",(716) 761-6978,"Tuesday 8:00 AM - 12:00 PM 
3rd Saturday 8:30 AM - 12:30 PM",42.1596023,-79.595903
PANAMA UNITED METHODIST CHURCH,"22 EAST MAIN ST., PANAMA, NY 14767",(716) 782-3282,"Monday 9:00 AM – 10:00 AM and 6:00 PM – 7:00 PM; 
Thursday 5:00 PM – 7:00 PM",,
AREA CHRISTIAN ACTION - FINDLEY,"2862 NORTH ROAD, FINDLEY LAKE, NY 14736",(716) 769-7532,"Thursday 9:00 AM - 1:00 PM
3rd Saturday 8:00 AM - 12:00 PM",42.1220144,-79.7319726
AREA CHRISTIAN ACTION - CLYMER,"565 CLYMER SHERMAN ROAD, CLYMER, NY 14724",(716) 355-6336,"Monday 10:00 AM - 2:00 PM
3rd Saturday 7:30 AM - 9:30 AM",42.0217685,-79.630329
